Club
Holstein Kiel
SC Paderborn
Carl Zeiss Jena
Magdeburg
Without Club
FC Augsburg
Retired
FC Gießen
Union Berlin
1.FC Köln
Wehen Wiesbaden
Bor. Dortmund
1.FSV Mainz 05
Twente FC
Düsseldorf II
F. Düsseldorf
FC Augsburg II
RSC Anderlecht
FSV Frankfurt
Inter
RB Leipzig
Bayern Munich
TSG Hoffenheim
Greuther Fürth
Hannover 96
VfB Stuttgart
VfL Wolfsburg
FC Groningen
PEC Zwolle
Wolfsburg II
Hamburger SV II
Bor. M'gladbach
Werder Bremen
KFC Uerdingen
Hertha BSC
SV Meppen
Heidenheim
FC Schalke 04
Amiens SC
B. Leverkusen
VVV-Venlo
VfL Bochum
FC Utrecht
FC Emmen
Real Sociedad
SC Freiburg
RW Essen
Nuremberg II
Hertha BSC II
BSC Young Boys
FC Ingolstadt
SC Paderborn II
Karlsruher SC
FC St. Gallen
E. Frankfurt
Gamba Osaka
Flamengo
VfL Osnabrück
FSV Mainz 05 II
Norwich
R Charleroi SC
Sonnenhof-Gr.
B. Dortmund II
M'gladbach II
Würzb. Kickers
J. Regensburg
MSV Duisburg
Energie Cottbus
1.FC Nuremberg
PSV Eindhoven
Hamburger SV
TSV Hartberg
LDU Quito
Erzgebirge Aue
Real Madrid
Fortuna Sittard
Fenerbahce
Career break
Korona Kielce
FC Luzern
HNK Rijeka
Hoffenheim II
SV Lippstadt 08
Sassuolo
Hammarby
Saarbrücken
Vitesse
Paris SG
West Ham
Alem. Aachen
Fortaleza
Newcastle
Hallescher FC
Arm. Bielefeld
LASK
Spartak Moscow
Al-Gharafa SC
LA Galaxy II
Everton
KV Kortrijk
Willem II
Southampton
Dinamo Moscow
Real Zaragoza
SD Huesca
Viktoria Köln
Malmö FF
Djurgården
Málaga CF
Arsenal Tula
Fiorentina
Dijon
Roda JC
LOSC Lille
Kayserispor
SF Lotte
Monaco
Guimarães B
Rot-Weiß Erfurt
1860 Munich
Shakhtar D.
Göztepe
AC Milan
E. Braunschweig
Berliner AK
Western Sydney
Sampdoria
Benfica
RB Bragantino
Darmstadt 98
Kansas City
Man City
Dynamo Dresden
Austria Vienna
Galatasaray
SCR Altach
Ascoli
SSC Napoli
Ludogorets
Slaven Belupo
Botafogo
Cercle Brugge
Chelsea
Leeds
Olympique Lyon
Gaziantep FK
FC Bayern II
FC Zürich
Mouscron
Villarreal
Chemnitzer FC
Sheff Utd
Brighton
Paris FC
FSV Zwickau
Vit. Guimarães
FC Liefering
W. Bremen II
Brann
Barcelona
Lazio
Liverpool
QPR
FC Metz
Juventus
Guingamp
Rosenborg
Grenoble
Royal Antwerp
Lens
Stade Reims
KV Oostende
W. Mannheim
Stade Brestois
Marseille
SV Sandhausen
A. Klagenfurt
FC St. Pauli
CA Osasuna
SVO Biebesheim
Karvina
Internacional
Nacional
UD Logroñés
Nashville
Stuttgart II
Antalyaspor
1.FC K'lautern
AS Roma
FC Wil 1900
Wolfsberger AC
RKC Waalwijk
Ankaragücü
Lok Leipzig
Moreirense 
Denizlispor
Olympiacos
Fulham
Ipswich
TuS Dassendorf
Lyngby BK
Naestved BK
Sevilla FC
SC Verl
Ajax
Saint-Étienne
Celta de Vigo
Club Brugge
Stoke City
Standard Liège
Sint-Truiden
CA Huracán
Pescara
Crystal Palace
Heracles Almelo
Toulouse
FC Basel
Man Utd
Türkgücü Münch.
Parma
Trabzonspor
FC Midtjylland
Warta Poznan
América-MG
Atlético Madrid
Cardiff
Arsenal
Valmiera
RB Salzburg
Tottenham
Dynamo Moscow
Juventus U23
Yokohama F. M.
Slavia Prague
WSG Tirol
Melbourne City
Waasland-Beveren
Aarhus GF
Admira Wacker
TSV Brannenburg
Suwon Bluewings
Grasshoppers
NK Maribor
Schalke 04 II
SC Freiburg II
Red Star
Goczalkowice
Viktoria Berlin
Aschaffenburg
Ittihad Kalba
New York
Mlada Boleslav
FC Seoul
Qatar SC
RCD Mallorca
Al-Ettifaq
SKN St. Pölten
Clermont Foot
Valencia
IFK Göteborg
Krasnodar
Loko Moscow
Bonner SC
Gr. Fürth II
Guayaquil City
Kasimpasa
NEC Nijmegen
Aston Villa
Los Angeles
Udinese Calcio
Hessen Kassel
Újpest FC
Brescia
Hansa Rostock
Al-Jazira
Stade Rennais
Siroki Brijeg
FC Porto
Chaves
Wolves
FK Pirmasens
AEK Athens
Sunderland
Académico Viseu
Torino
G. Bordeaux
Leicester
C. Rizespor
Chicago
Venezia
Anorthosis
Barcelona B
Rangers
Pafos FC
Blackburn
