"","","Home","","","","Away","","","","Total","","","","","","",""
"","","P","W","D","L","P","W","D","L","P","W","D","L","F","A","+/-","Pts"
"C","Bayern Munich","17","13","4","0","17","11","2","4","34","24","6","4","99","44","+55","78"
"2","RB Leipzig","17","11","4","2","17","8","4","5","34","19","8","7","60","32","+28","65"
"3","Borussia Dortmund","17","11","2","4","17","9","2","6","34","20","4","10","75","46","+29","64"
"4","VfL Wolfsburg","17","10","4","3","17","7","6","4","34","17","10","7","61","37","+24","61"
"5","Eintracht Frankfurt","17","10","7","0","17","6","5","6","34","16","12","6","69","53","+16","60"
"6","Bayer 04 Leverkusen","17","8","5","4","17","6","5","6","34","14","10","10","53","39","+14","52"
"7","1. FC Union Berlin","17","8","8","1","17","4","6","7","34","12","14","8","50","43","+7","50"
"8","Borussia Mönchengladbach","17","8","4","5","17","5","6","6","34","13","10","11","64","56","+8","49"
"9","VfB Stuttgart","17","5","6","6","17","7","3","7","34","12","9","13","56","55","+1","45"
"10","SC Freiburg","17","7","6","4","17","5","3","9","34","12","9","13","52","52","0","45"
"11","1899 Hoffenheim","17","8","3","6","17","3","7","7","34","11","10","13","52","54","-2","43"
"12","Mainz 05","17","4","4","9","17","6","5","6","34","10","9","15","39","56","-17","39"
"13","FC Augsburg","17","6","4","7","17","4","2","11","34","10","6","18","36","54","-18","36"
"14","Hertha Berlin","17","5","5","7","17","3","6","8","34","8","11","15","41","52","-11","35"
"15","Arminia Bielefeld","17","6","2","9","17","3","6","8","34","9","8","17","26","52","-26","35"
"16","1. FC Köln","17","3","5","9","17","5","4","8","34","8","9","17","34","60","-26","33"
"17","Werder Bremen","17","3","5","9","17","4","5","8","34","7","10","17","36","57","-21","31"
"18","FC Schalke 04","17","3","3","11","17","0","4","13","34","3","7","24","25","86","-61","16"
