,transfer_id,transfer_datetime,transfer_type,season,season_id,player_id,player_name,player_age_at_transfer,transfer_fee_euro,transfer_fee_million,market_value_euro,market_value_million,from.club_id,from.club_name,from.competition_id,from.competition_name,to.club_id,to.club_name,to.competition_id,to.competition_name,date_of_birth_datetime,citizenship,position.main,position.other,height_cm,foot,updated_at
0,2518704,01/07/2019,free loan transfer,19/20,2019,314245,Emmanuel Iyoha,21,,,900000,0.9,38,F. Düsseldorf,L1,Bundesliga,269,Holstein Kiel,L2,2. Bundesliga,11/10/1997,['Germany' 'Nigeria'],Left-Back,['Right-Back' 'Left Winger'],191,right,2024-02-25T02:16:17.122733
1,2472611,01/07/2019,free transfer,19/20,2019,153634,Marcel Hilßner,24,0,0,400000,0.4,30,Hansa Rostock,L3,3. Liga,127,SC Paderborn,L1,Bundesliga,30/01/1995,['Germany'],Attacking Midfield,['Right Winger' 'Left Winger'],183,left,2024-02-24T10:13:57.036699
2,2512548,01/07/2019,free loan transfer,19/20,2019,195676,Ole Käuper,22,,,350000,0.35,86,Werder Bremen,L1,Bundesliga,113,Carl Zeiss Jena,L3,3. Liga,09/01/1997,['Germany'],Defensive Midfield,['Central Midfield'],187,left,2024-02-24T10:13:48.186890
3,2507880,01/07/2019,free loan transfer,19/20,2019,236986,Thore Jacobsen,22,,,300000,0.3,86,Werder Bremen,L1,Bundesliga,187,Magdeburg,L3,3. Liga,19/04/1997,['Germany'],Defensive Midfield,['Central Midfield' 'Left-Back'],182,left,2024-02-24T10:13:43.016587
4,2491956,01/07/2019,,19/20,2019,31652,Fabian Schönheim,32,,,200000,0.2,89,Union Berlin,L1,Bundesliga,515,Without Club,,,14/02/1987,['Germany'],Centre-Back,['Left-Back' 'Defensive Midfield'],,,2024-02-24T23:49:23.092466
5,2490984,01/07/2019,paid transfer,19/20,2019,196231,Marvin Friedrich,23,1000000,1,3000000,3,89,Union Berlin,L1,Bundesliga,167,FC Augsburg,L1,Bundesliga,13/12/1995,['Germany'],Centre-Back,['Right-Back'],193,right,2024-02-24T10:21:42.431431
6,2479748,01/07/2019,,19/20,2019,1662,Sascha Riether,36,,,,,33,FC Schalke 04,L1,Bundesliga,123,Retired,,,23/03/1983,['Germany'],Right-Back,['Defensive Midfield' 'Right Midfield'],,,2024-02-24T10:21:51.653669
7,2576824,01/07/2019,free transfer,19/20,2019,367693,Sascha Heil,20,0,0,100000,0.1,127,SC Paderborn,L1,Bundesliga,66883,FC Gießen,,,04/05/1999,['Germany'],Centre-Back,['Right-Back' 'Defensive Midfield'],184,both,2024-02-25T16:28:44.734960
8,2491894,01/07/2019,paid transfer,19/20,2019,356118,Suleiman Abdullahi,22,500000,0.5,2000000,2,23,E. Braunschweig,L3,3. Liga,89,Union Berlin,L1,Bundesliga,10/12/1996,['Nigeria'],Centre-Forward,,185,right,2024-02-24T10:05:05.084873
9,2478605,01/07/2019,,19/20,2019,428189,Tomáš Ostrák,19,,,100000,0.1,1461,1.FC Köln U19,,,3,1.FC Köln,L1,Bundesliga,05/02/2000,['Czech Republic'],Attacking Midfield,['Right Winger' 'Left Winger'],176,right,2024-02-25T16:35:20.025529
10,2515134,01/07/2019,unknown,19/20,2019,288340,Phillip Tietz,21,,,350000,0.35,127,SC Paderborn,L1,Bundesliga,108,Wehen Wiesbaden,L2,2. Bundesliga,09/07/1997,['Germany'],Centre-Forward,,190,right,2024-02-24T09:58:55.009250
11,2318806,01/07/2019,paid transfer,19/20,2019,126716,Paco Alcácer,25,21000000,21,37000000,37,131,Barcelona,ES1,LaLiga,16,Bor. Dortmund,L1,Bundesliga,30/08/1993,['Spain'],Centre-Forward,['Left Winger' 'Right Winger'],175,right,2024-02-24T23:18:04.678767
