player_name,player_id,club_name,club_id,season_id,season,Age,Pos,xG_match,citizenship,foot,from_club_id,from_club_name,City,
Brenden Aaronson,393323,1. FC Union Berlin,89,2023,23/24,22,"MF,FW",0.14,['United States'],right,399,Leeds, Leeds,
Paxten Aaronson,795738,Eintracht Frankfurt,24,2023,23/24,19,MF,0.11,['United States'],right,499,Vitesse, Arnhem,
Junior Adamu,452477,SC Freiburg,60,2023,23/24,22,"FW,MF",0.05,['Austria'],right,409,RB Salzburg, Salzburg,
Faride Alidou,456492,1. FC Köln,3,2023,23/24,22,"FW,MF",0.21,['Germany' 'Togo'],right,24,Eintracht Frankfurt, Frankfurt,
Skelly Alvero,855134,Werder Bremen,86,2023,23/24,21,MF,0.24,['France' 'Angola'],right,1041,Olympique Lyon, Lyon,
Nadiem Amiri,232454,1. FSV Mainz 05,39,2023,23/24,26,MF,0.15,['Germany' 'Afghanistan'],right,15,Bayer 04 Leverkusen, Leverkusen,
Arthur,977464,Bayer 04 Leverkusen,15,2023,23/24,20,DF,0.04,['Brazil'],right,2863,América-MG, Brazil,
Aymen Barkok,315332,1. FSV Mainz 05,39,2023,23/24,25,"MF,FW",0.48,['Morocco' 'Germany'],right,44,Hertha Berlin, Berlin,
Daniel Batz,90317,1. FSV Mainz 05,39,2023,23/24,32,GK,0,['Germany'],both,1,Saarbrücken, Saarbr�cken,
Elias Baum,744857,Eintracht Frankfurt,24,2023,23/24,17,"DF,MF",0,['Germany'],right,177,E. Frankfurt II, Frankfurt,
Christoph Baumgartner,324278,RB Leipzig,23826,2023,23/24,23,"MF,FW",0.28,['Austria'],right,533,TSG 1899 Hoffenheim, Sinsheim,
Chris Bedia,294791,1. FC Union Berlin,89,2023,23/24,27,"FW,MF",0.13,"[""Cote d'Ivoire"" 'France']",left,61,Servette FC, Geneva,
Donny van de Beek,288255,Eintracht Frankfurt,24,2023,23/24,26,"MF,FW",0.02,['Netherlands'],right,985,Man Utd, Manchester,
Kevin Behrens,117432,VfL Wolfsburg,82,2023,23/24,32,FW,0.23,['Germany'],both,89,1. FC Union Berlin, Berlin,
Ramy Bensebaini,284732,Borussia Dortmund,16,2023,23/24,28,DF,0.15,['Algeria'],left,18,Borussia Mönchengladbach, M�nchengladbach,
Mergim Berisha,307924,TSG 1899 Hoffenheim,533,2023,23/24,25,FW,0.32,['Germany'],right,167,FC Augsburg, Augsburg,
Mergim Berisha,307924,FC Augsburg,167,2023,23/24,25,FW,0.13,['Germany'],right,36,Fenerbahce, Istanbul,
Bernardo,364258,VfL Bochum,80,2023,23/24,28,DF,0.06,['Brazil'],left,409,RB Salzburg, Salzburg,
Pep Biel,263804,FC Augsburg,167,2023,23/24,26,"MF,FW",0.32,['Spain'],left,683,Olympiacos, Piraeus,
Sacha Boey,475413,Bayern Munich,27,2023,23/24,22,DF,0.2,['France' 'Cameroon'],right,141,Galatasaray, Istanbul,
Victor Boniface,656681,Bayer 04 Leverkusen,15,2023,23/24,22,FW,0.9,['Nigeria'],right,3948,Union SG, Brussels,
Leonardo Bonucci,39983,1. FC Union Berlin,89,2023,23/24,36,DF,0.15,['Italy'],right,506,Juventus, Turin,
Yvandro Borges Sanches,586659,Borussia Mönchengladbach,18,2023,23/24,19,"MF,FW",0,['Luxembourg' 'Cape Verde'],right,467,NEC Nijmegen, Nijmegen,
Rafael Borré,323831,Werder Bremen,86,2023,23/24,27,FW,0.22,['Colombia'],right,24,Eintracht Frankfurt, Frankfurt,
Tim Breithaupt,569457,FC Augsburg,167,2023,23/24,21,MF,0.01,['Germany'],right,48,Karlsruher SC, Karlsruhe,
Marius Bülter,116088,TSG 1899 Hoffenheim,533,2023,23/24,30,"DF,FW",0.1,['Germany'],right,33,FC Schalke 04, Gelsenkirchen,
Oliver Burke,341317,Werder Bremen,86,2023,23/24,26,FW,0,['Scotland'],right,337,Birmingham, Birmingham,
Irvin Cardona,342226,FC Augsburg,167,2023,23/24,25,"MF,DF",0.33,['France' 'Malta'],right,618,Saint-Étienne,�tienne ,
Rasmus Carstensen,542697,1. FC Köln,3,2023,23/24,22,"DF,FW",0.05,['Denmark'],right,1184,KRC Genk, Genk,
